PeopleSoft #,Reference #,"Reference #
(less special characters)",Item Description,Mfg Name,Area,Lev 1,Cart Name,Shelf,UNSPSC Desc (Commodity Code),Status Current,Comments
000000000000523284,MA60AC.115,MA60AC115,LENS IOL ACR ANT CHMB MLTI 10 DEG PLUS 11.5D 6MM OPTIC 13MM,ALCON INC,CONS,AA01,CONS AA01,_A60,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000478433,MA60AC.120,MA60AC120,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DEG PLUS 12D 6MM,ALCON INC,CONS,AA01,CONS AA01,_A65,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000438423,MA60AC.125,MA60AC125,LENS IOL ACR ANT CHMB MLTI 10 DEG PLUS 12.5D 6MM OPTIC 13MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_A70,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000436997,MA60AC.130,MA60AC130,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DEG PLUS 13D 6MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_A75,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000470709,MA60AC.135,MA60AC135,LENS IOL ACR ANT CHMB MLTI 10 DEG PLUS 13.5D 6MM OPTIC 13MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_A80,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000513338,MA60AC.140,MA60AC140,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DEG PLUS 14D 6MM,ALCON INC,CONS,AA01,CONS AA01,_A85,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000502336,MA60AC.145,MA60AC145,LENS IOL ACR ANT CHMB MLTI 10 DEG PLUS 14.5D 6MM OPTIC 13MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_A90,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000449231,MA60AC.150,MA60AC150,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DEG PLUS 15D 6MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_A95,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000511731,MA60AC.155,MA60AC155,LENS IOL ACR ANT CHMB MLTI 10 DEG PLUS 15.5D 6MM OPTIC 13MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_A99,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000541998,MA60AC.160,MA60AC160,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DEG PLUS 16.5D 6MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_B05,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000465836,MA60AC.165,MA60AC165,LENS IOL ACR ANT CHMB MLTI 10 DEG PLUS 16.5D 6MM OPTIC 13MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_B10,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000527290,MA60AC.170,MA60AC170,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DEG PLUS 17D 6MM,ALCON INC,CONS,AA01,CONS AA01,_B15,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000446878,MA60AC.175,MA60AC175,LENS IOL ACR ANT CHMB MLTI 10 DEG PLUS 17.5D 6MM OPTIC 13MM,ALCON INC,CONS,AA01,CONS AA01,_B20,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000548878,MA60AC.180,MA60AC180,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DEG PLUS 18D 6MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_B25,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000547926,MA60AC.185,MA60AC185,LENS IOL ACR ANT CHMB MLTI 10 DEG PLUS 18.5D 6MM OPTIC 13MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_B30,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000519471,MA60AC.190,MA60AC190,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DEG PLUS 19D 6MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_B35,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000488602,MA60AC.195,MA60AC195,LENS IOL ACR ANT CHMB MLTI 10 DEG PLUS 19.5D 6MM OPTIC 13MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_B40,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000477908,MA60AC.200,MA60AC200,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DEG PLUS 20D 6MM,ALCON INC,CONS,AA01,CONS AA01,_B45,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000506554,MA60AC.205,MA60AC205,LENS IOL ACR ANT CHMB MLTI 10 DEG PLUS 20.5D 6MM OPTIC 13MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_B50,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000499678,MA60AC.210,MA60AC210,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DEG PLUS 21D 6MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_B55,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000529987,MA60AC.215,MA60AC215,LENS IOL ACR ANT CHMB MLTI 10 DEG PLUS 21.5D 6MM OPTIC 13MM,ALCON INC,CONS,AA01,CONS AA01,_B60,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000533649,MA60AC.220,MA60AC220,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DEG PLUS 22D 6MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_B65,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000442674,MA60AC.225,MA60AC225,LENS IOL ACR ANT CHMB MLTI 10 DEG PLUS 22.5D 6MM OPTIC 13MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_C05,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000518448,MA60AC.230,MA60AC230,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DEG PLUS 23D 6MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_C10,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000529701,MA60AC.235,MA60AC235,LENS IOL ACR ANT CHMB MLTI 10 DEG PLUS 23.5D 6MM OPTIC 13MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_C15,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000369327,MTA4U0.130,MTA4U0130,LENS IOL PMMA CONVEXOPLANO ANT CHMB 1PC PLUS 13D 5.5MM 13MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_C17,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000518752,MTA4U0.135,MTA4U0135,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 13.5D 5.5MM 13MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_C18,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000444950,MA60AC.240,MA60AC240,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DEG PLUS 24D 6MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_C20,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000549301,MA60AC.250,MA60AC250,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DEG PLUS 25D 6MM,ALCON INC,CONS,AA01,CONS AA01,_C30,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000536795,MA60AC.255,MA60AC255,LENS IOL ACR ANT CHMB MLTI 10 DEG PLUS 25.5D 6MM OPTIC 13MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_C35,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000458154,MA60AC.260,MA60AC260,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DEG PLUS 26D 6MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_C40,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000492257,MA60AC.265,MA60AC265,LENS IOL ACR ANT CHMB MLTI 10 DEG PLUS 26.5D 6MM OPTIC 13MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_C45,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000489855,MA60AC.270,MA60AC270,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DEG PLUS 27D 6MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_C50,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000502648,MA60AC.275,MA60AC275,LENS IOL ACR ANT CHMB MLTI 10 DEG PLUS 27.5D 6MM OPTIC 13MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_C55,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000498945,MA60AC.280,MA60AC280,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DEG PLUS 28D 6MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_C60,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000478560,MA60AC.285,MA60AC285,LENS IOL ACR ANT CHMB MLTI 10 DEG PLUS 28.5D 6MM OPTIC 13MM,ALCON INC,CONS,AA01,CONS AA01,_C65,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000456813,MA60AC.290,MA60AC290,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DEG PLUS 29D 6MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_C70,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000503581,MA60AC.295,MA60AC295,LENS IOL ACR ANT CHMB MLTI 10 DEG PLUS 29.5D 6MM OPTIC 13MM,ALCON INC,CONS,AA01,CONS AA01,_C75,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000432753,MA60AC.300,MA60AC300,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DEG PLUS 30D 6MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_C80,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000421561,MTA3U0.050,MTA3U0050,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 5D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D01,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000485688,MTA3U0.055,MTA3U0055,LENS IOL PMMA CONVEXOPLANO ANT CHMB PLUS 5.5D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D02,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000477253,MTA3U0.060,MTA3U0060,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 6D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D03,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000493939,MTA3U0.065,MTA3U0065,LENS IOL PMMA CONVEXOPLANO ANT CHMB PLUS 6.5D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D04,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000551537,MTA3U0U070,MTA3U0U070,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 7D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D05,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000496633,MTA3U0.075,MTA3U0075,LENS IOL PMMA CONVEXOPLANO ANT CHMB PLUS 7.5D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D06,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000547491,MTA3U0.080,MTA3U0080,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 8D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D07,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000511767,MTA3U0.085,MTA3U0085,LENS IOL PMMA CONVEXOPLANO ANT CHMB PLUS 8.5D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D08,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000370149,MTA3U0.090,MTA3U0090,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 9D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D09,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000463374,MTA3U0U095,MTA3U0U095,LENS IOL PMMA CONVEXOPLANO ANT CHMB PLUS 9.5D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D10,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000469020,MTA3U0.100,MTA3U0100,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 10D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D11,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000438342,MTA3U0.105,MTA3U0105,LENS IOL PMMA CONVEXOPLANO ANT CHMB PLUS 10.5D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D12,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000545761,MTA3U0.110,MTA3U0110,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 11D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D13,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000369085,MTA3U0.115,MTA3U0115,LENS IOL PMMA CONVEXOPLANO ANT CHMB PLUS 11.5D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D14,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000524590,MTA3U0.120,MTA3U0120,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 12D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D15,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000520772,MTA3U0.125,MTA3U0125,LENS IOL PMMA CONVEXOPLANO ANT CHMB PLUS 12.5D 5.5MM 12.5MM,ALCON INC,CONS,AA01,CONS AA01,_D16,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000440984,MTA3U0.130,MTA3U0130,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 13D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D17,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000512979,MTA3U0.135,MTA3U0135,LENS IOL PMMA CONVEXOPLANO ANT CHMB PLUS 13.5D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D18,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000548185,MTA3U0.140,MTA3U0140,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 14D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D19,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000527283,MTA3U0.145,MTA3U0145,LENS IOL PMMA CONVEXOPLANO ANT CHMB PLUS 14.5D 5.5MM 12.5MM,ALCON INC,CONS,AA01,CONS AA01,_D20,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000075841,MTA3U0.150,MTA3U0150,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 15D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D21,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000432486,MTA3U0.155,MTA3U0155,LENS IOL PMMA CONVEXOPLANO ANT CHMB PLUS 15.5D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D22,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000482932,MTA3U0.160,MTA3U0160,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 16.5D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D23,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000173238,MTA3U0.165,MTA3U0165,LENS IOL PMMA CONVEXOPLANO ANT CHMB PLUS 16.5D 5.5MM 12.5MM,ALCON INC,CONS,AA01,CONS AA01,_D24,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000082744,MTA3U0.170,MTA3U0170,LENS IOL PMMA CONVEXOPLANO 1PC PLUS 17D 5.5MM OPTIC 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D25,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000506222,MTA3U0.175,MTA3U0175,LENS IOL PMMA CONVEXOPLANO ANT CHMB PLUS 17.5D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D26,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000477910,MTA3U0.180,MTA3U0180,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 18D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D27,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000466117,MTA3U0.185,MTA3U0185,LENS IOL PMMA CONVEXOPLANO ANT CHMB PLUS 18.5D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D28,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000526162,MTA3U0.190,MTA3U0190,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 19D 5.5MM 12.5MM,ALCON INC,CONS,AA01,CONS AA01,_D29,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000537755,MTA3U0.195,MTA3U0195,LENS IOL PMMA CONVEXOPLANO ANT CHMB PLUS 19.5D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D30,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000517060,MTA3U0.200,MTA3U0200,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 20D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D31,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000369352,MTA3U0.205,MTA3U0205,LENS IOL PMMA CONVEXOPLANO ANT CHMB PLUS 20.5D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D32,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000469305,MTA3U0.210,MTA3U0210,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 21D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D33,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000524182,MTA3U0.215,MTA3U0215,LENS IOL PMMA CONVEXOPLANO ANT CHMB PLUS 21.5D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D34,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000547092,MTA3U0.220,MTA3U0220,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 22D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D35,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000532276,MTA3U0.225,MTA3U0225,LENS IOL PMMA CONVEXOPLANO ANT CHMB PLUS 22.5D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D36,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000518738,MTA3U0.230,MTA3U0230,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 23D 5.5MM 12.5MM,ALCON INC,CONS,AA01,CONS AA01,_D37,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000531300,MTA3U0.235,MTA3U0235,LENS IOL PMMA CONVEXOPLANO ANT CHMB PLUS 23.5D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D38,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000499987,MTA3U0.240,MTA3U0240,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 24D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D39,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000488918,MTA3U0.245,MTA3U0245,LENS IOL PMMA CONVEXOPLANO ANT CHMB PLUS 24.5D 5.5MM 12.5MM,ALCON INC,CONS,AA01,CONS AA01,_D40,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000538713,MTA3U0.250,MTA3U0250,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 25D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D41,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000486289,MTA3U0.255,MTA3U0255,LENS IOL PMMA CONVEXOPLANO ANT CHMB PLUS 25.5D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D42,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000465445,MTA3U0.260,MTA3U0260,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 26D 5.5MM 12.5MM,ALCON INC,CONS,AA01,CONS AA01,_D43,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000544698,MTA3U0.270,MTA3U0270,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 27D 5.5MM 12.5MM,ALCON INC,CONS,AA01,CONS AA01,_D45,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000510436,MTA3U0.275,MTA3U0275,LENS IOL PMMA CONVEXOPLANO ANT CHMB PLUS 27.5D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D46,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000524215,MTA3U0.280,MTA3U0280,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 28D 5.5MM 12.5MM,ALCON INC,CONS,AA01,CONS AA01,_D47,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000495009,MTA3U0.290,MTA3U0290,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 29D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D49,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000477485,MTA3U0.300,MTA3U0300,LENS IOL PMMA CONVEXOPLANO CHMB 1PC PLUS 30D 5.5MM 12.5MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_D51,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000495649,MTA4U0.050,MTA4U0050,LENS IOL PMMA CONVEXOPLANO ANT CHMB 1PC PLUS 5D 5.5MM 13MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_E03,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000528015,MTA4U0.060,MTA4U0060,LENS IOL PMMA CONVEXOPLANO ANT CHMB 1PC PLUS 6D 5.5MM 13MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_E09,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000531982,MTA4U0.070,MTA4U0070,LENS IOL PMMA CONVEXOPLANO ANT CHMB 1PC PLUS 7D 5.5MM 13MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_E15,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
